fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,alcohol,quality
5.7,1.13,0.09,1.5,0.172,9.8,4
7.3,0.45,0.36,5.9,0.074,10.5,5
7.3,0.45,0.36,5.9,0.074,10.5,5
8.8,0.61,0.3,2.8,0.088,9.3,4
7.5,0.49,0.2,2.6,0.332,10.5,6
8.1,0.66,0.22,2.2,0.069,10.3,5
6.8,0.67,0.02,1.8,0.05,9.5,5
4.6,0.52,0.15,2.1,0.054,13.1,4
7.7,0.935,0.43,2.2,0.114,9.2,5
8.7,0.29,0.52,1.6,0.113,9.5,5
6.4,0.4,0.23,1.6,0.066,9.2,5
5.6,0.31,0.37,1.4,0.074,9.2,5
8.8,0.66,0.26,1.7,0.074,9.2,5
6.6,0.52,0.04,2.2,0.069,9.4,6
6.6,0.5,0.04,2.1,0.068,9.4,6
8.6,0.38,0.36,3,0.081,9.4,5
7.6,0.51,0.15,2.8,0.11,10.2,6
7.7,0.62,0.04,3.8,0.084,9.5,5
10.2,0.42,0.57,3.4,0.07,9.6,5
7.5,0.63,0.12,5.1,0.111,9.4,5
7.8,0.59,0.18,2.3,0.076,10,5
7.3,0.39,0.31,2.4,0.074,9.4,6
8.8,0.4,0.4,2.2,0.079,9.2,5
7.7,0.69,0.49,1.8,0.115,9.3,5
7.5,0.52,0.16,1.9,0.085,9.5,7
7,0.735,0.05,2,0.081,9.8,5
7.2,0.725,0.05,4.65,0.086,10.9,5
7.2,0.725,0.05,4.65,0.086,10.9,5
7.5,0.52,0.11,1.5,0.079,9.6,5
6.6,0.705,0.07,1.6,0.076,10.7,5
9.3,0.32,0.57,2,0.074,10.7,5
8,0.705,0.05,1.9,0.074,10.5,6
7.7,0.63,0.08,1.9,0.076,9.5,6
7.7,0.67,0.23,2.1,0.088,9.5,5
7.7,0.69,0.22,1.9,0.084,9.5,5
8.3,0.675,0.26,2.1,0.084,9.2,4
9.7,0.32,0.54,2.5,0.094,9.6,5
8.8,0.41,0.64,2.2,0.093,10.5,5
8.8,0.41,0.64,2.2,0.093,10.5,5
6.8,0.785,0,2.4,0.104,10.7,6
6.7,0.75,0.12,2,0.086,10.1,5
8.3,0.625,0.2,1.5,0.08,9.1,4
6.2,0.45,0.2,1.6,0.069,9.2,5
7.8,0.43,0.7,1.9,0.464,9.4,5
7.4,0.5,0.47,2,0.086,9.1,5
7.3,0.67,0.26,1.8,0.401,9.4,5
6.3,0.3,0.48,1.8,0.069,10.3,6
6.9,0.55,0.15,2.2,0.076,10.1,5
8.6,0.49,0.28,1.9,0.11,9.9,6
7.7,0.49,0.26,1.9,0.062,9.6,5
9.3,0.39,0.44,2.1,0.107,9.5,5
7,0.62,0.08,1.8,0.076,9,5
7.9,0.52,0.26,1.9,0.079,9.5,5
8.6,0.49,0.28,1.9,0.11,9.9,6
8.6,0.49,0.29,2,0.11,9.8,5
7.7,0.49,0.26,1.9,0.062,9.6,5
5,1.02,0.04,1.4,0.045,10.5,4
4.7,0.6,0.17,2.3,0.058,12.9,6
6.8,0.775,0,3,0.102,10.7,5
7,0.5,0.25,2,0.07,9.2,5
7.6,0.9,0.06,2.5,0.079,9.8,5
8.1,0.545,0.18,1.9,0.08,9,6
8.3,0.61,0.3,2.1,0.084,10.2,6
7.8,0.5,0.3,1.9,0.075,10.4,6
8.1,0.545,0.18,1.9,0.08,9,6
8.1,0.575,0.22,2.1,0.077,9.2,5
7.2,0.49,0.24,2.2,0.07,9.4,5
8.1,0.575,0.22,2.1,0.077,9.2,5
7.8,0.41,0.68,1.7,0.467,9.3,5
6.2,0.63,0.31,1.7,0.088,9.3,5
8,0.33,0.53,2.5,0.091,9.6,6
8.1,0.785,0.52,2,0.122,9.3,5
7.8,0.56,0.19,1.8,0.104,9.5,5
8.4,0.62,0.09,2.2,0.084,9.8,5
8.4,0.6,0.1,2.2,0.085,9.8,5
10.1,0.31,0.44,2.3,0.08,9.7,6
7.8,0.56,0.19,1.8,0.104,9.5,5
9.4,0.4,0.31,2.2,0.09,10.5,6
8.3,0.54,0.28,1.9,0.077,10,6
7.8,0.56,0.12,2,0.082,9.4,6
8.8,0.55,0.04,2.2,0.119,10.9,6
7,0.69,0.08,1.8,0.097,9.2,6
7.3,1.07,0.09,1.7,0.178,9,5
8.8,0.55,0.04,2.2,0.119,10.9,6
7.3,0.695,0,2.5,0.075,9.2,5
8,0.71,0,2.6,0.08,9.5,5
7.8,0.5,0.17,1.6,0.082,9.5,5
9,0.62,0.04,1.9,0.146,9.4,5
8.2,1.33,0,1.7,0.081,10.9,5
8.1,1.33,0,1.8,0.082,10.9,5
8,0.59,0.16,1.8,0.065,10.5,7
6.1,0.38,0.15,1.8,0.072,9.4,5
8,0.745,0.56,2,0.118,9.4,5
5.6,0.5,0.09,2.3,0.049,13,5
5.6,0.5,0.09,2.3,0.049,13,5
6.6,0.5,0.01,1.5,0.06,9.8,6
7.9,1.04,0.05,2.2,0.084,9.9,6
8.4,0.745,0.11,1.9,0.09,9.6,5
8.3,0.715,0.15,1.8,0.089,9.5,5
7.2,0.415,0.36,2,0.081,9.2,5
7.8,0.56,0.19,2.1,0.081,9.5,5
7.8,0.56,0.19,2,0.081,9.5,5
8.4,0.745,0.11,1.9,0.09,9.6,5
8.3,0.715,0.15,1.8,0.089,9.5,5
5.2,0.34,0,1.8,0.05,14,6
6.3,0.39,0.08,1.7,0.066,9.4,5
5.2,0.34,0,1.8,0.05,14,6
8.1,0.67,0.55,1.8,0.117,9.4,5
5.8,0.68,0.02,1.8,0.087,10,5
7.6,0.49,0.26,1.6,0.236,9.3,5
6.9,0.49,0.1,2.3,0.074,10.2,6
8.2,0.4,0.44,2.8,0.089,10.5,6
7.3,0.33,0.47,2.1,0.077,10.3,6
9.2,0.52,1,3.4,0.61,9.4,4
7.5,0.6,0.03,1.8,0.095,10.1,5
7.5,0.6,0.03,1.8,0.095,10.1,5
7.1,0.43,0.42,5.5,0.07,10.5,5
7.1,0.43,0.42,5.5,0.071,10.5,5
7.1,0.43,0.42,5.5,0.07,10.5,5
7.1,0.43,0.42,5.5,0.071,10.5,5
7.1,0.68,0,2.2,0.073,9.3,5
6.8,0.6,0.18,1.9,0.079,9.3,6
7.6,0.95,0.03,2,0.09,9.6,5
7.6,0.68,0.02,1.3,0.072,9.2,4
7.8,0.53,0.04,1.7,0.076,10,6
7.4,0.6,0.26,7.3,0.07,9.4,5
7.3,0.59,0.26,7.2,0.07,9.4,5
7.8,0.63,0.48,1.7,0.1,9.5,5
6.8,0.64,0.1,2.1,0.085,10.2,5
7.3,0.55,0.03,1.6,0.072,9,4
6.8,0.63,0.07,2.1,0.089,10.4,6
7.5,0.705,0.24,1.8,0.36,9.5,5
7.9,0.885,0.03,1.8,0.058,9.1,4
8,0.42,0.17,2,0.073,9.2,6
8,0.42,0.17,2,0.073,9.2,6
7.4,0.62,0.05,1.9,0.068,11.5,6
7.3,0.38,0.21,2,0.08,9.5,5
6.9,0.5,0.04,1.5,0.085,9.5,5
7.3,0.38,0.21,2,0.08,9.5,5
7.5,0.52,0.42,2.3,0.087,10.5,6
7,0.805,0,2.5,0.068,9.6,5
8.8,0.61,0.14,2.4,0.067,9.5,5
8.8,0.61,0.14,2.4,0.067,9.5,5
8.9,0.61,0.49,2,0.27,9.3,5
7.2,0.73,0.02,2.5,0.076,9.3,5
6.8,0.61,0.2,1.8,0.077,9.3,5
6.7,0.62,0.21,1.9,0.079,9.3,6
8.9,0.31,0.57,2,0.111,9.7,5
7.4,0.39,0.48,2,0.082,9.2,5
7.7,0.705,0.1,2.6,0.084,9.7,5
7.9,0.5,0.33,2,0.084,9.5,5
7.9,0.49,0.32,1.9,0.082,9.5,5
8.2,0.5,0.35,2.9,0.077,9.4,5
6.4,0.37,0.25,1.9,0.074,9.8,6
6.8,0.63,0.12,3.8,0.099,9.5,5
7.6,0.55,0.21,2.2,0.071,9.7,5
7.6,0.55,0.21,2.2,0.071,9.7,5
7.8,0.59,0.33,2,0.074,9.4,5
7.3,0.58,0.3,2.4,0.074,10.2,5
11.5,0.3,0.6,2,0.067,10.1,6
5.4,0.835,0.08,1.2,0.046,13,7
6.9,1.09,0.06,2.1,0.061,11.4,4
9.6,0.32,0.47,1.4,0.056,10.3,7
8.8,0.37,0.48,2.1,0.097,9.3,5
6.8,0.5,0.11,1.5,0.075,9.5,5
7,0.42,0.35,1.6,0.088,9.2,5
7,0.43,0.36,1.6,0.089,9.2,6
12.8,0.3,0.74,2.6,0.095,10.8,7
12.8,0.3,0.74,2.6,0.095,10.8,7
7.8,0.57,0.31,1.8,0.069,9.3,5
7.8,0.44,0.28,2.7,0.1,9.4,5
11,0.3,0.58,2.1,0.054,10.5,7
9.7,0.53,0.6,2,0.039,12.4,6
8,0.725,0.24,2.8,0.083,10,6
11.6,0.44,0.64,2.1,0.059,10.2,6
8.2,0.57,0.26,2.2,0.06,10.1,5
7.8,0.735,0.08,2.4,0.092,9.8,6
7,0.49,0.49,5.6,0.06,10.5,5
8.7,0.625,0.16,2,0.101,11,5
8.1,0.725,0.22,2.2,0.072,9.1,5
7.5,0.49,0.19,1.9,0.076,9.7,5
7.8,0.53,0.33,2.4,0.08,9.5,5
7.8,0.34,0.37,2,0.082,9.4,6
7.4,0.53,0.26,2,0.101,9.4,5
6.8,0.61,0.04,1.5,0.057,9.5,5
8.6,0.645,0.25,2,0.083,10,6
8.4,0.635,0.36,2,0.089,10.4,4
7.7,0.43,0.25,2.6,0.073,10.5,6
8.9,0.59,0.5,2,0.337,9.5,6
9,0.82,0.14,2.6,0.089,9.8,5
7.7,0.43,0.25,2.6,0.073,10.5,6
6.9,0.52,0.25,2.6,0.081,11,5
5.2,0.48,0.04,1.6,0.054,12.2,7
8,0.38,0.06,1.8,0.078,9.9,6
8.5,0.37,0.2,2.8,0.09,9.6,6
6.9,0.52,0.25,2.6,0.081,11,5
8.2,1,0.09,2.3,0.065,9,6
7.2,0.63,0,1.9,0.097,9,6
7.2,0.63,0,1.9,0.097,9,6
7.2,0.645,0,1.9,0.097,9.2,6
7.2,0.63,0,1.9,0.097,9,6
8.2,1,0.09,2.3,0.065,9,6
8.9,0.635,0.37,1.7,0.263,9.3,5
12,0.38,0.56,2.1,0.093,10.9,6
7.7,0.58,0.1,1.8,0.102,9.8,6
15,0.21,0.44,2.2,0.075,9.2,7
15,0.21,0.44,2.2,0.075,9.2,7
7.3,0.66,0,2,0.084,9.9,6
7.1,0.68,0.07,1.9,0.075,9.5,5
8.2,0.6,0.17,2.3,0.072,9.3,5
7.7,0.53,0.06,1.7,0.074,9.8,6
7.3,0.66,0,2,0.084,9.9,6
10.8,0.32,0.44,1.6,0.063,10,6
7.1,0.6,0,1.8,0.074,9.9,6
11.1,0.35,0.48,3.1,0.09,10.5,5
7.7,0.775,0.42,1.9,0.092,9.5,5
7.1,0.6,0,1.8,0.074,9.9,6
8,0.57,0.23,3.2,0.073,9.3,5
9.4,0.34,0.37,2.2,0.075,9.2,5
6.6,0.695,0,2.1,0.075,9.2,5
7.7,0.41,0.76,1.8,0.611,9.4,5
10,0.31,0.47,2.6,0.085,10.5,7
7.9,0.33,0.23,1.7,0.077,9.3,5
7,0.975,0.04,2,0.087,9.4,4
8,0.52,0.03,1.7,0.07,10,5
7.9,0.37,0.23,1.8,0.077,9.3,5
12.5,0.56,0.49,2.4,0.064,10.9,5
11.8,0.26,0.52,1.8,0.071,10.2,7
8.1,0.87,0,3.3,0.096,9.8,4
7.9,0.35,0.46,3.6,0.078,12.8,8
6.9,0.54,0.04,3,0.077,9.4,6
11.5,0.18,0.51,4,0.104,10.1,6
7.9,0.545,0.06,4,0.087,10.7,6
11.5,0.18,0.51,4,0.104,10.1,6
10.9,0.37,0.58,4,0.071,10.1,5
8.4,0.715,0.2,2.4,0.076,9.4,5
7.5,0.65,0.18,7,0.088,9.4,5
7.9,0.545,0.06,4,0.087,10.7,6
6.9,0.54,0.04,3,0.077,9.4,6
11.5,0.18,0.51,4,0.104,10.1,6
10.3,0.32,0.45,6.4,0.073,12.6,8
8.9,0.4,0.32,5.6,0.087,10.5,7
11.4,0.26,0.44,3.6,0.071,9.3,6
7.7,0.27,0.68,3.5,0.358,9.9,7
7.6,0.52,0.12,3,0.067,9.1,5
8.9,0.4,0.32,5.6,0.087,10.5,7
9.9,0.59,0.07,3.4,0.102,9.8,5
9.9,0.59,0.07,3.4,0.102,9.8,5
12,0.45,0.55,2,0.073,10.3,6
7.5,0.4,0.12,3,0.092,10.3,6
8.7,0.52,0.09,2.5,0.091,10.6,7
11.6,0.42,0.53,3.3,0.105,9.2,5
8.7,0.52,0.09,2.5,0.091,10.6,7
11,0.2,0.48,2,0.343,10.5,5
10.4,0.55,0.23,2.7,0.091,10.3,6
6.9,0.36,0.25,2.4,0.098,10.1,6
13.3,0.34,0.52,3.2,0.094,9.5,6
10.8,0.5,0.46,2.5,0.073,9.5,5
10.6,0.83,0.37,2.6,0.086,9.9,5
7.1,0.63,0.06,2,0.083,9.6,5
7.2,0.65,0.02,2.3,0.094,9.7,5
6.9,0.67,0.06,2.1,0.08,9.6,5
7.5,0.53,0.06,2.6,0.086,10.7,6
11.1,0.18,0.48,1.5,0.068,10.1,6
8.3,0.705,0.12,2.6,0.092,10,5
7.4,0.67,0.12,1.6,0.186,9.5,5
8.4,0.65,0.6,2.1,0.112,9.2,5
10.3,0.53,0.48,2.5,0.063,9.3,6
7.6,0.62,0.32,2.2,0.082,9.4,5
10.3,0.41,0.42,2.4,0.213,9.5,6
10.3,0.43,0.44,2.4,0.214,9.5,6
7.4,0.29,0.38,1.7,0.062,9.5,6
10.3,0.53,0.48,2.5,0.063,9.3,6
7.9,0.53,0.24,2,0.072,9.4,6
9,0.46,0.31,2.8,0.093,9.5,6
8.6,0.47,0.3,3,0.076,9.4,5
7.4,0.36,0.29,2.6,0.087,11,5
7.1,0.35,0.29,2.5,0.096,11,6
9.6,0.56,0.23,3.4,0.102,10.1,5
9.6,0.77,0.12,2.9,0.082,10.4,6
9.8,0.66,0.39,3.2,0.083,11.5,7
9.6,0.77,0.12,2.9,0.082,10.4,6
9.8,0.66,0.39,3.2,0.083,11.5,7
9.3,0.61,0.26,3.4,0.09,9.7,5
7.8,0.62,0.05,2.3,0.079,9.3,5
10.3,0.59,0.42,2.8,0.09,9.5,6
10,0.49,0.2,11,0.071,9.2,6
10,0.49,0.2,11,0.071,9.2,6
11.6,0.53,0.66,3.65,0.121,11.5,7
10.3,0.44,0.5,4.5,0.107,11.5,5
13.4,0.27,0.62,2.6,0.082,9.7,6
10.7,0.46,0.39,2,0.061,9.5,5
10.2,0.36,0.64,2.9,0.122,12.5,6
10.2,0.36,0.64,2.9,0.122,12.5,6
8,0.58,0.28,3.2,0.066,9.4,6
8.4,0.56,0.08,2.1,0.105,11,5
7.9,0.65,0.01,2.5,0.078,11.7,7
11.9,0.695,0.53,3.4,0.128,12.2,7
8.9,0.43,0.45,1.9,0.052,12.5,6
7.8,0.43,0.32,2.8,0.08,10.3,5
12.4,0.49,0.58,3,0.103,11.5,6
12.5,0.28,0.54,2.3,0.082,9.8,7
12.2,0.34,0.5,2.4,0.066,9.2,6
10.6,0.42,0.48,2.7,0.065,11.3,6
10.9,0.39,0.47,1.8,0.118,9.8,6
10.9,0.39,0.47,1.8,0.118,9.8,6
11.9,0.57,0.5,2.6,0.082,10.7,6
7,0.685,0,1.9,0.067,9.9,5
6.6,0.815,0.02,2.7,0.072,12.3,7
13.8,0.49,0.67,3,0.093,12,6
9.6,0.56,0.31,2.8,0.089,10,6
9.1,0.785,0,2.6,0.093,9.4,6
10.7,0.67,0.22,2.7,0.107,9.9,6
9.1,0.795,0,2.6,0.096,9.4,6
7.7,0.665,0,2.4,0.09,9.3,5
13.5,0.53,0.79,4.8,0.12,13,5
6.1,0.21,0.4,1.4,0.066,11.9,6
6.7,0.75,0.01,2.4,0.078,12.8,6
11.5,0.41,0.52,3,0.08,11,5
10.5,0.42,0.66,2.95,0.116,11.7,7
11.9,0.43,0.66,3.1,0.109,10.4,7
12.6,0.38,0.66,2.6,0.088,9.8,6
8.2,0.7,0.23,2,0.099,9.4,5
8.6,0.45,0.31,2.6,0.086,9.9,6
11.9,0.58,0.66,2.5,0.072,10,5
12.5,0.46,0.63,2,0.071,10.2,5
12.8,0.615,0.66,5.8,0.083,10,7
10,0.42,0.5,3.4,0.107,11.8,6
12.8,0.615,0.66,5.8,0.083,10,7
10.4,0.575,0.61,2.6,0.076,9,5
10.3,0.34,0.52,2.8,0.159,9.4,5
9.4,0.27,0.53,2.4,0.074,12,7
6.9,0.765,0.02,2.3,0.063,9.9,5
7.9,0.24,0.4,1.6,0.056,8.7,6
9.1,0.28,0.48,1.8,0.067,10.6,6
7.4,0.55,0.22,2.2,0.106,9.2,5
14,0.41,0.63,3.8,0.089,10.8,6
11.5,0.54,0.71,4.4,0.124,11.8,7
11.5,0.45,0.5,3,0.078,11,6
9.4,0.27,0.53,2.4,0.074,12,7
11.4,0.625,0.66,6.2,0.088,13.3,6
8.3,0.42,0.38,2.5,0.094,10.8,6
8.3,0.26,0.42,2,0.08,9.4,6
13.7,0.415,0.68,2.9,0.085,10,6
8.3,0.26,0.42,2,0.08,9.4,6
8.3,0.26,0.42,2,0.08,9.4,6
7.7,0.51,0.28,2.1,0.087,9.2,5
7.4,0.63,0.07,2.4,0.09,9.7,6
7.8,0.54,0.26,2,0.088,9.2,6
8.3,0.66,0.15,1.9,0.079,9.6,6
7.8,0.46,0.26,1.9,0.088,9.2,6
9.6,0.38,0.31,2.5,0.096,10,7
5.6,0.85,0.05,1.4,0.045,12.9,8
13.7,0.415,0.68,2.9,0.085,10,6
9.5,0.37,0.52,2,0.082,9.5,5
8.4,0.665,0.61,2,0.112,9.1,5
12.7,0.6,0.65,2.3,0.063,9.9,5
12,0.37,0.76,4.2,0.066,13,7
6.6,0.735,0.02,7.9,0.122,9.9,5
11.5,0.59,0.59,2.6,0.087,11,6
11.5,0.59,0.59,2.6,0.087,11,6
8.7,0.765,0.22,2.3,0.064,9.4,5
6.6,0.735,0.02,7.9,0.122,9.9,5
7.7,0.26,0.3,1.7,0.059,10.8,6
12.2,0.48,0.54,2.6,0.085,10.5,6
11.4,0.6,0.49,2.7,0.085,10.5,6
7.7,0.69,0.05,2.7,0.075,9.1,5
8.7,0.31,0.46,1.4,0.059,10.1,6
9.8,0.44,0.47,2.5,0.063,10.8,6
12,0.39,0.66,3,0.093,10.8,7
10.4,0.34,0.58,3.7,0.174,11.3,6
12.5,0.46,0.49,4.5,0.07,9.6,4
9,0.43,0.34,2.5,0.08,9.5,6
9.1,0.45,0.35,2.4,0.08,9.5,5
7.1,0.735,0.16,1.9,0.1,9.3,5
9.9,0.4,0.53,6.7,0.097,11.7,7
8.8,0.52,0.34,2.7,0.087,9.5,5
8.6,0.725,0.24,6.6,0.117,9.3,5
10.6,0.48,0.64,2.2,0.111,11.7,6
7,0.58,0.12,1.9,0.091,10.5,5
11.9,0.38,0.51,2,0.121,10.4,6
6.8,0.77,0,1.8,0.066,9.9,5
9.5,0.56,0.33,2.4,0.089,11.8,7
6.6,0.84,0.03,2.3,0.059,12.3,7
7.7,0.96,0.2,2,0.047,10.9,5
10.5,0.24,0.47,2.1,0.066,11,7
7.7,0.96,0.2,2,0.047,10.9,5
6.6,0.84,0.03,2.3,0.059,12.3,7
6.4,0.67,0.08,2.1,0.045,11.4,6
9.5,0.78,0.22,1.9,0.077,10.6,6
9.1,0.52,0.33,1.3,0.07,9.3,5
12.8,0.84,0.63,2.4,0.088,10.4,6
10.5,0.24,0.47,2.1,0.066,11,7
7.8,0.55,0.35,2.2,0.074,9.2,5
11.9,0.37,0.69,2.3,0.078,12.8,6
12.3,0.39,0.63,2.3,0.091,9.5,5
10.4,0.41,0.55,3.2,0.076,9.9,6
12.3,0.39,0.63,2.3,0.091,9.5,5
8,0.67,0.3,2,0.06,10.2,6
11.1,0.45,0.73,3.2,0.066,11.2,6
10.4,0.41,0.55,3.2,0.076,9.9,6
7,0.62,0.18,1.5,0.062,9.3,5
12.6,0.31,0.72,2.2,0.072,9.8,8
11.9,0.4,0.65,2.15,0.068,11.3,6
15.6,0.685,0.76,3.7,0.1,11.2,7
10,0.44,0.49,2.7,0.077,11.6,7
5.3,0.57,0.01,1.7,0.054,12.5,7
9.5,0.735,0.1,2.1,0.079,10.1,6
12.5,0.38,0.6,2.6,0.081,10.5,5
9.3,0.48,0.29,2.1,0.127,11.2,5
8.6,0.53,0.22,2,0.1,10.2,6
11.9,0.39,0.69,2.8,0.095,10.8,6
11.9,0.39,0.69,2.8,0.095,10.8,6
8.4,0.37,0.53,1.8,0.413,9.1,6
6.8,0.56,0.03,1.7,0.084,10,6
10.4,0.33,0.63,2.8,0.084,11.2,7
7,0.23,0.4,1.6,0.063,11.1,5
11.3,0.62,0.67,5.2,0.086,13.4,8
8.9,0.59,0.39,2.3,0.095,10.3,5
9.2,0.63,0.21,2.7,0.097,9.6,5
10.4,0.33,0.63,2.8,0.084,11.2,7
11.6,0.58,0.66,2.2,0.074,9,3
9.2,0.43,0.52,2.3,0.083,11.3,6
8.3,0.615,0.22,2.6,0.087,9.3,5
11,0.26,0.68,2.55,0.085,11.8,5
8.1,0.66,0.7,2.2,0.098,9,5
11.5,0.315,0.54,2.1,0.084,9.2,6
10,0.29,0.4,2.9,0.098,9.7,5
10.3,0.5,0.42,2,0.069,11.5,6
8.8,0.46,0.45,2.6,0.065,14,6
11.4,0.36,0.69,2.1,0.09,9.2,6
8.7,0.82,0.02,1.2,0.07,9.8,5
13,0.32,0.65,2.6,0.093,10.6,5
9.6,0.54,0.42,2.4,0.081,11.4,6
12.5,0.37,0.55,2.6,0.083,10.4,6
9.9,0.35,0.55,2.1,0.062,10.6,5
10.5,0.28,0.51,1.7,0.08,9.4,6
9.6,0.68,0.24,2.2,0.087,10.2,5
9.3,0.27,0.41,2,0.091,9.7,5
10.4,0.24,0.49,1.8,0.075,11,6
9.6,0.68,0.24,2.2,0.087,10.2,5
9.4,0.685,0.11,2.7,0.077,10.1,6
10.6,0.28,0.39,15.5,0.069,9.2,5
9.4,0.3,0.56,2.8,0.08,11.7,8
10.6,0.36,0.59,2.2,0.152,9.4,5
10.6,0.36,0.6,2.2,0.152,9.4,5
10.6,0.44,0.68,4.1,0.114,13.4,6
10.2,0.67,0.39,1.9,0.054,10,5
10.2,0.67,0.39,1.9,0.054,10,5
10.2,0.645,0.36,1.8,0.053,10,6
11.6,0.32,0.55,2.8,0.081,10.8,7
9.3,0.39,0.4,2.6,0.073,10.2,6
9.3,0.775,0.27,2.8,0.078,10.6,6
9.2,0.41,0.5,2.5,0.055,13.3,7
8.9,0.4,0.51,2.6,0.052,13.4,7
8.7,0.69,0.31,3,0.086,11.6,6
6.5,0.39,0.23,8.3,0.051,12.1,6
10.7,0.35,0.53,2.6,0.07,11,8
7.8,0.52,0.25,1.9,0.081,9,6
7.2,0.34,0.32,2.5,0.09,11.1,5
10.7,0.35,0.53,2.6,0.07,11,8
8.7,0.69,0.31,3,0.086,11.6,6
7.8,0.52,0.25,1.9,0.081,9,6
10.4,0.44,0.73,6.55,0.074,12,7
10.4,0.44,0.73,6.55,0.074,12,7
10.5,0.26,0.47,1.9,0.078,10.9,7
10.5,0.24,0.42,1.8,0.077,10.8,7
10.2,0.49,0.63,2.9,0.072,12.5,7
10.4,0.24,0.46,1.8,0.075,10.8,7
11.2,0.67,0.55,2.3,0.084,9.5,6
10,0.59,0.31,2.2,0.09,10.2,6
13.3,0.29,0.75,2.8,0.084,11.4,7
12.4,0.42,0.49,4.6,0.073,9.5,5
10,0.59,0.31,2.2,0.09,10.2,6
10.7,0.4,0.48,2.1,0.125,9.7,6
10.5,0.51,0.64,2.4,0.107,11.8,7
10.5,0.51,0.64,2.4,0.107,11.8,7
8.5,0.655,0.49,6.1,0.122,9.3,5
12.5,0.6,0.49,4.3,0.1,11.9,6
10.4,0.61,0.49,2.1,0.2,8.4,3
10.9,0.21,0.49,2.8,0.088,11.7,6
7.3,0.365,0.49,2.5,0.088,11,5
9.8,0.25,0.49,2.7,0.088,10,6
7.6,0.41,0.49,2,0.088,9.1,5
8.2,0.39,0.49,2.3,0.099,9.8,5
9.3,0.4,0.49,2.5,0.085,9.4,5
9.2,0.43,0.49,2.4,0.086,9.5,5
10.4,0.64,0.24,2.8,0.105,9.9,5
7.3,0.365,0.49,2.5,0.088,11,5
7,0.38,0.49,2.5,0.097,11.4,6
8.2,0.42,0.49,2.6,0.084,8.7,6
9.9,0.63,0.24,2.4,0.077,9.4,5
9.1,0.22,0.24,2.1,0.078,10.3,6
11.9,0.38,0.49,2.7,0.098,10.3,5
11.9,0.38,0.49,2.7,0.098,10.3,5
10.3,0.27,0.24,2.1,0.072,12.8,6
10,0.48,0.24,2.7,0.102,10,6
9.1,0.22,0.24,2.1,0.078,10.3,6
9.9,0.63,0.24,2.4,0.077,9.4,5
8.1,0.825,0.24,2.1,0.084,10.7,6
12.9,0.35,0.49,5.8,0.066,12,7
11.2,0.5,0.74,5.15,0.1,11.2,5
9.2,0.59,0.24,3.3,0.101,9.6,5
9.5,0.46,0.49,6.3,0.064,11,6
9.3,0.715,0.24,2.1,0.07,9.9,5
11.2,0.66,0.24,2.5,0.085,11,6
14.3,0.31,0.74,1.8,0.075,8.4,6
9.1,0.47,0.49,2.6,0.094,9.1,5
7.5,0.55,0.24,2,0.078,9.5,6
10.6,0.31,0.49,2.5,0.067,10.7,6
12.4,0.35,0.49,2.6,0.079,10.4,6
9,0.53,0.49,1.9,0.171,9.4,6
6.8,0.51,0.01,2.1,0.074,9.5,6
9.4,0.43,0.24,2.8,0.092,10,6
9.5,0.46,0.24,2.7,0.092,10,6
5,1.04,0.24,1.6,0.05,11.5,5
