fixed acidity,volatile acidity,citric acid,quality
8.5,0.37,0.2,6
6.9,0.52,0.25,5
8.2,1.0,0.09,6
7.2,0.63,0.0,6
7.2,0.63,0.0,6
7.2,0.645,0.0,6
7.2,0.63,0.0,6
8.2,1.0,0.09,6
8.9,0.635,0.37,5
12.0,0.38,0.56,6
7.7,0.58,0.1,6
12.349999999999998,0.21,0.44,7
12.349999999999998,0.21,0.44,7
7.3,0.66,0.0,6
7.1,0.68,0.07,5
8.2,0.6,0.17,5
7.7,0.53,0.06,6
7.3,0.66,0.0,6
10.8,0.32,0.44,6
7.1,0.6,0.0,6
11.1,0.35,0.48,5
7.7,0.775,0.42,5
7.1,0.6,0.0,6
8.0,0.57,0.23,5
9.4,0.34,0.37,5
6.6,0.695,0.0,5
7.7,0.41,0.76,5
10.0,0.31,0.47,7
7.9,0.33,0.23,5
7.0,0.975,0.04,4
8.0,0.52,0.03,5
7.9,0.37,0.23,5
12.349999999999998,0.56,0.49,5
11.8,0.26,0.52,7
8.1,0.87,0.0,4
7.9,0.35,0.46,8
6.9,0.54,0.04,6
11.5,0.18,0.51,6
7.9,0.545,0.06,6
11.5,0.18,0.51,6
10.9,0.37,0.58,5
8.4,0.715,0.2,5
7.5,0.65,0.18,5
7.9,0.545,0.06,6
6.9,0.54,0.04,6
11.5,0.18,0.51,6
10.3,0.32,0.45,8
8.9,0.4,0.32,7
11.4,0.26,0.44,6
7.7,0.27,0.68,7
7.6,0.52,0.12,5
8.9,0.4,0.32,7
9.9,0.59,0.07,5
9.9,0.59,0.07,5
12.0,0.45,0.55,6
7.5,0.4,0.12,6
8.7,0.52,0.09,7
11.6,0.42,0.53,5
8.7,0.52,0.09,7
11.0,0.2,0.48,5
10.4,0.55,0.23,6
6.9,0.36,0.25,6
12.349999999999998,0.34,0.52,6
10.8,0.5,0.46,5
10.6,0.83,0.37,5
7.1,0.63,0.06,5
7.2,0.65,0.02,5
6.9,0.67,0.06,5
7.5,0.53,0.06,6
11.1,0.18,0.48,6
8.3,0.705,0.12,5
7.4,0.67,0.12,5
8.4,0.65,0.6,5
10.3,0.53,0.48,6
7.6,0.62,0.32,5
10.3,0.41,0.42,6
10.3,0.43,0.44,6
7.4,0.29,0.38,6
10.3,0.53,0.48,6
7.9,0.53,0.24,6
9.0,0.46,0.31,6
8.6,0.47,0.3,5
7.4,0.36,0.29,5
7.1,0.35,0.29,6
9.6,0.56,0.23,5
9.6,0.77,0.12,6
9.8,0.66,0.39,7
9.6,0.77,0.12,6
9.8,0.66,0.39,7
9.3,0.61,0.26,5
7.8,0.62,0.05,5
10.3,0.59,0.42,6
10.0,0.49,0.2,6
10.0,0.49,0.2,6
11.6,0.53,0.66,7
10.3,0.44,0.5,5
12.349999999999998,0.27,0.62,6
10.7,0.46,0.39,5
10.2,0.36,0.64,6
10.2,0.36,0.64,6
8.0,0.58,0.28,6
8.4,0.56,0.08,5
7.9,0.65,0.01,7
11.9,0.695,0.53,7
8.9,0.43,0.45,6
7.8,0.43,0.32,5
12.349999999999998,0.49,0.58,6
12.349999999999998,0.28,0.54,7
12.2,0.34,0.5,6
10.6,0.42,0.48,6
10.9,0.39,0.47,6
10.9,0.39,0.47,6
11.9,0.57,0.5,6
7.0,0.685,0.0,5
6.6,0.815,0.02,7
12.349999999999998,0.49,0.67,6
9.6,0.56,0.31,6
9.1,0.785,0.0,6
10.7,0.67,0.22,6
9.1,0.795,0.0,6
7.7,0.665,0.0,5
12.349999999999998,0.53,0.79,5
6.1,0.21,0.4,6
6.7,0.75,0.01,6
11.5,0.41,0.52,5
10.5,0.42,0.66,7
11.9,0.43,0.66,7
12.349999999999998,0.38,0.66,6
8.2,0.7,0.23,5
8.6,0.45,0.31,6
11.9,0.58,0.66,5
12.349999999999998,0.46,0.63,5
12.349999999999998,0.615,0.66,7
10.0,0.42,0.5,6
12.349999999999998,0.615,0.66,7
10.4,0.575,0.61,5
10.3,0.34,0.52,5
9.4,0.27,0.53,7
6.9,0.765,0.02,5
7.9,0.24,0.4,6
9.1,0.28,0.48,6
7.4,0.55,0.22,5
12.349999999999998,0.41,0.63,6
11.5,0.54,0.71,7
11.5,0.45,0.5,6
9.4,0.27,0.53,7
11.4,0.625,0.66,6
8.3,0.42,0.38,6
8.3,0.26,0.42,6
12.349999999999998,0.415,0.68,6
8.3,0.26,0.42,6
8.3,0.26,0.42,6
7.7,0.51,0.28,5
7.4,0.63,0.07,6
7.8,0.54,0.26,6
8.3,0.66,0.15,6
7.8,0.46,0.26,6
9.6,0.38,0.31,7
5.6,0.85,0.05,8
12.349999999999998,0.415,0.68,6
9.5,0.37,0.52,5
8.4,0.665,0.61,5
12.349999999999998,0.6,0.65,5
12.0,0.37,0.76,7
6.6,0.735,0.02,5
11.5,0.59,0.59,6
11.5,0.59,0.59,6
8.7,0.765,0.22,5
6.6,0.735,0.02,5
7.7,0.26,0.3,6
12.2,0.48,0.54,6
11.4,0.6,0.49,6
7.7,0.69,0.05,5
8.7,0.31,0.46,6
9.8,0.44,0.47,6
12.0,0.39,0.66,7
10.4,0.34,0.58,6
12.349999999999998,0.46,0.49,4
9.0,0.43,0.34,6
9.1,0.45,0.35,5
7.1,0.735,0.16,5
9.9,0.4,0.53,7
8.8,0.52,0.34,5
8.6,0.725,0.24,5
10.6,0.48,0.64,6
7.0,0.58,0.12,5
11.9,0.38,0.51,6
6.8,0.77,0.0,5
9.5,0.56,0.33,7
6.6,0.84,0.03,7
7.7,0.96,0.2,5
10.5,0.24,0.47,7
7.7,0.96,0.2,5
6.6,0.84,0.03,7
6.4,0.67,0.08,6
9.5,0.78,0.22,6
9.1,0.52,0.33,5
12.349999999999998,0.84,0.63,6
10.5,0.24,0.47,7
7.8,0.55,0.35,5
11.9,0.37,0.69,6
12.3,0.39,0.63,5
10.4,0.41,0.55,6
12.3,0.39,0.63,5
8.0,0.67,0.3,6
11.1,0.45,0.73,6
10.4,0.41,0.55,6
7.0,0.62,0.18,5
12.349999999999998,0.31,0.72,8
11.9,0.4,0.65,6
12.349999999999998,0.685,0.76,7
10.0,0.44,0.49,7
5.3,0.57,0.01,7
9.5,0.735,0.1,6
12.349999999999998,0.38,0.6,5
9.3,0.48,0.29,5
8.6,0.53,0.22,6
11.9,0.39,0.69,6
11.9,0.39,0.69,6
8.4,0.37,0.53,6
6.8,0.56,0.03,6
10.4,0.33,0.63,7
7.0,0.23,0.4,5
11.3,0.62,0.67,8
8.9,0.59,0.39,5
9.2,0.63,0.21,5
10.4,0.33,0.63,7
11.6,0.58,0.66,3
9.2,0.43,0.52,6
8.3,0.615,0.22,5
11.0,0.26,0.68,5
8.1,0.66,0.7,5
11.5,0.315,0.54,6
10.0,0.29,0.4,5
10.3,0.5,0.42,6
8.8,0.46,0.45,6
11.4,0.36,0.69,6
8.7,0.82,0.02,5
12.349999999999998,0.32,0.65,5
9.6,0.54,0.42,6
12.349999999999998,0.37,0.55,6
9.9,0.35,0.55,5
10.5,0.28,0.51,6
9.6,0.68,0.24,5
9.3,0.27,0.41,5
10.4,0.24,0.49,6
9.6,0.68,0.24,5
9.4,0.685,0.11,6
10.6,0.28,0.39,5
9.4,0.3,0.56,8
10.6,0.36,0.59,5
10.6,0.36,0.6,5
10.6,0.44,0.68,6
10.2,0.67,0.39,5
10.2,0.67,0.39,5
10.2,0.645,0.36,6
11.6,0.32,0.55,7
9.3,0.39,0.4,6
9.3,0.775,0.27,6
9.2,0.41,0.5,7
8.9,0.4,0.51,7
8.7,0.69,0.31,6
6.5,0.39,0.23,6
10.7,0.35,0.53,8
7.8,0.52,0.25,6
7.2,0.34,0.32,5
10.7,0.35,0.53,8
8.7,0.69,0.31,6
7.8,0.52,0.25,6
10.4,0.44,0.73,7
10.4,0.44,0.73,7
10.5,0.26,0.47,7
10.5,0.24,0.42,7
10.2,0.49,0.63,7
10.4,0.24,0.46,7
11.2,0.67,0.55,6
10.0,0.59,0.31,6
12.349999999999998,0.29,0.75,7
12.349999999999998,0.42,0.49,5
10.0,0.59,0.31,6
10.7,0.4,0.48,6
10.5,0.51,0.64,7
10.5,0.51,0.64,7
8.5,0.655,0.49,5
12.349999999999998,0.6,0.49,6
10.4,0.61,0.49,3
10.9,0.21,0.49,6
7.3,0.365,0.49,5
9.8,0.25,0.49,6
7.6,0.41,0.49,5
8.2,0.39,0.49,5
9.3,0.4,0.49,5
9.2,0.43,0.49,5
10.4,0.64,0.24,5
7.3,0.365,0.49,5
7.0,0.38,0.49,6
8.2,0.42,0.49,6
9.9,0.63,0.24,5
9.1,0.22,0.24,6
11.9,0.38,0.49,5
11.9,0.38,0.49,5
10.3,0.27,0.24,6
10.0,0.48,0.24,6
9.1,0.22,0.24,6
9.9,0.63,0.24,5
8.1,0.825,0.24,6
12.349999999999998,0.35,0.49,7
11.2,0.5,0.74,5
9.2,0.59,0.24,5
9.5,0.46,0.49,6
9.3,0.715,0.24,5
11.2,0.66,0.24,6
12.349999999999998,0.31,0.74,6
9.1,0.47,0.49,5
7.5,0.55,0.24,6
10.6,0.31,0.49,6
12.349999999999998,0.35,0.49,6
9.0,0.53,0.49,6
6.8,0.51,0.01,6
9.4,0.43,0.24,6
9.5,0.46,0.24,6
5.0,1.04,0.24,5
12.349999999999998,0.645,0.49,5
12.349999999999998,0.645,0.49,5
10.9,0.53,0.49,6
12.349999999999998,0.645,0.49,5
10.9,0.53,0.49,6
12.349999999999998,0.47,0.49,6
12.349999999999998,0.6,0.49,5
9.0,0.44,0.49,5
9.0,0.54,0.49,5
7.6,0.29,0.49,6
12.349999999999998,0.47,0.49,6
12.349999999999998,0.6,0.49,5
8.7,0.7,0.24,6
8.7,0.7,0.24,6
9.8,0.5,0.49,6
6.2,0.36,0.24,6
11.5,0.35,0.49,6
6.2,0.36,0.24,6
10.2,0.24,0.49,5
10.5,0.59,0.49,4
10.6,0.34,0.49,6
12.3,0.27,0.49,6
9.9,0.5,0.24,4
8.8,0.44,0.49,5
8.8,0.47,0.49,5
10.6,0.31,0.49,6
12.3,0.5,0.49,5
12.3,0.5,0.49,5
11.7,0.49,0.49,5
12.0,0.28,0.49,7
11.8,0.33,0.49,7
7.6,0.51,0.24,6
11.1,0.31,0.49,7
7.3,0.73,0.24,5
5.0,0.42,0.24,8
10.2,0.29,0.49,7
9.0,0.45,0.49,5
6.6,0.39,0.49,6
9.0,0.45,0.49,5
9.9,0.49,0.58,5
7.9,0.72,0.17,5
8.9,0.595,0.41,5
12.349999999999998,0.4,0.51,6
11.9,0.58,0.58,6
8.5,0.585,0.18,6
12.349999999999998,0.59,0.45,6
8.2,0.915,0.27,4
12.349999999999998,0.46,0.52,6
7.7,0.835,0.0,5
12.349999999999998,0.46,0.52,6
8.3,0.58,0.13,6
8.3,0.6,0.13,6
9.4,0.41,0.48,7
8.8,0.48,0.41,6
10.1,0.65,0.37,6
6.3,0.36,0.19,6
8.8,0.24,0.54,5
12.349999999999998,0.38,0.55,5
7.5,0.64,0.0,6
8.2,0.39,0.38,5
9.2,0.755,0.18,6
9.6,0.6,0.5,5
9.6,0.6,0.5,5
11.5,0.31,0.51,6
11.4,0.46,0.5,5
11.3,0.37,0.41,5
8.3,0.54,0.24,5
8.2,0.56,0.23,5
10.0,0.58,0.22,5
7.9,0.51,0.25,6
6.8,0.69,0.0,5
6.8,0.69,0.0,5
8.8,0.6,0.29,5
8.8,0.6,0.29,5
8.7,0.54,0.26,6
7.6,0.685,0.23,5
8.7,0.54,0.26,6
10.4,0.28,0.54,5
7.6,0.41,0.14,6
10.1,0.935,0.22,4
7.9,0.35,0.21,5
8.7,0.84,0.0,5
9.6,0.88,0.28,5
9.5,0.885,0.27,5
7.7,0.915,0.12,7
8.9,0.29,0.35,6
9.9,0.54,0.45,5
9.5,0.59,0.44,5
9.9,0.54,0.45,5
9.5,0.59,0.44,5
9.9,0.54,0.45,5
7.8,0.64,0.1,7
7.3,0.67,0.05,5
8.3,0.845,0.01,4
8.7,0.48,0.3,7
6.7,0.42,0.27,6
10.7,0.43,0.39,5
9.8,0.88,0.25,5
12.349999999999998,0.36,0.65,5
9.4,0.33,0.59,6
8.6,0.47,0.47,5
9.7,0.55,0.17,5
10.7,0.43,0.39,5
12.0,0.5,0.59,7
7.2,0.52,0.07,6
7.1,0.84,0.02,4
7.2,0.52,0.07,6
7.5,0.42,0.31,5
7.2,0.57,0.06,6
10.1,0.28,0.46,6
12.1,0.4,0.52,5
9.4,0.59,0.14,5
8.3,0.49,0.36,6
11.3,0.34,0.45,6
10.0,0.73,0.43,5
11.3,0.34,0.45,6
6.9,0.4,0.24,5
8.2,0.73,0.21,5
9.8,1.064999625281119,0.34,5
8.2,0.73,0.21,5
10.8,0.4,0.41,6
9.3,0.41,0.39,5
10.8,0.4,0.41,6
8.6,0.8,0.11,5
8.3,0.78,0.1,5
10.8,0.26,0.45,5
12.349999999999998,0.43,0.58,5
8.0,0.45,0.23,6
8.5,0.46,0.31,5
8.1,0.78,0.23,5
9.8,0.98,0.32,5
8.1,0.78,0.23,5
7.1,0.65,0.18,5
9.1,0.64,0.23,5
7.7,0.66,0.04,5
8.1,0.38,0.48,5
7.4,1.064999625281119,0.0,3
9.2,0.92,0.24,5
8.6,0.49,0.51,5
9.0,0.48,0.32,5
9.0,0.47,0.31,5
5.1,0.47,0.02,6
7.0,0.65,0.02,6
7.0,0.65,0.02,6
9.4,0.615,0.28,5
11.8,0.38,0.55,6
10.6,1.02,0.43,6
7.0,0.65,0.02,6
7.0,0.64,0.02,6
7.5,0.38,0.48,4
9.1,0.765,0.04,4
8.4,1.035,0.15,5
7.0,0.78,0.08,5
7.4,0.49,0.19,5
7.8,0.545,0.12,6
9.7,0.31,0.47,6
10.6,1.025,0.43,5
8.9,0.565,0.34,5
8.7,0.69,0.0,5
8.0,0.43,0.36,5
9.9,0.74,0.28,5
7.2,0.49,0.18,6
8.0,0.43,0.36,5
7.6,0.46,0.11,5
8.4,0.56,0.04,5
7.1,0.66,0.0,5
8.4,0.56,0.04,5
8.9,0.48,0.24,5
7.6,0.42,0.08,5
7.1,0.31,0.3,5
7.5,1.064999625281119,0.1,4
9.0,0.66,0.17,5
8.1,0.72,0.09,6
6.4,0.57,0.02,5
6.4,0.57,0.02,5
6.4,0.865,0.03,6
9.5,0.55,0.66,5
8.9,0.875,0.13,5
7.3,0.835,0.03,5
7.0,0.45,0.34,5
7.7,0.56,0.2,5
7.7,0.965,0.1,5
7.7,0.965,0.1,5
8.2,0.59,0.0,6
9.0,0.46,0.23,5
9.0,0.69,0.0,5
8.3,0.76,0.29,6
9.2,0.53,0.24,5
6.5,0.615,0.0,5
11.6,0.41,0.58,5
11.1,0.39,0.54,5
7.3,0.51,0.18,6
8.2,0.34,0.38,6
8.6,0.33,0.4,5
7.2,0.5,0.18,6
7.3,0.51,0.18,6
8.3,0.65,0.1,5
8.3,0.65,0.1,5
7.6,0.54,0.13,5
8.3,0.65,0.1,5
7.8,0.48,0.68,6
7.8,0.91,0.07,6
6.3,0.98,0.01,6
8.1,0.87,0.0,5
8.1,0.87,0.0,5
8.8,0.42,0.21,5
9.0,0.58,0.25,5
9.3,0.655,0.26,5
8.8,0.7,0.0,6
9.3,0.655,0.26,5
9.1,0.68,0.11,6
9.2,0.67,0.1,6
8.8,0.59,0.18,5
7.5,0.6,0.32,5
7.1,0.59,0.02,6
7.9,0.72,0.01,5
7.1,0.59,0.02,6
9.4,0.685,0.26,5
9.5,0.57,0.27,5
7.9,0.4,0.29,6
7.9,0.4,0.3,6
7.2,1.0,0.0,5
6.9,0.765,0.18,6
6.9,0.635,0.17,6
8.3,0.43,0.3,5
7.1,0.52,0.03,5
7.0,0.57,0.0,6
6.5,0.46,0.14,5
9.0,0.82,0.05,5
6.5,0.46,0.14,5
7.1,0.59,0.01,5
9.9,0.35,0.41,5
9.9,0.35,0.41,5
10.0,0.56,0.24,6
10.0,0.56,0.24,6
8.6,0.63,0.17,5
7.4,0.37,0.43,6
8.8,0.64,0.17,5
7.1,0.61,0.02,6
7.7,0.6,0.0,5
10.1,0.27,0.54,6
10.8,0.89,0.3,5
8.7,0.46,0.31,5
9.3,0.37,0.44,7
9.4,0.5,0.34,6
9.4,0.5,0.34,6
7.2,0.61,0.08,5
8.6,0.55,0.09,5
5.1,0.585,0.0,7
7.7,0.56,0.08,6
8.4,0.52,0.22,6
8.2,0.28,0.4,7
8.4,0.25,0.39,7
8.2,0.28,0.4,7
7.4,0.53,0.12,5
7.6,0.48,0.31,6
7.3,0.49,0.1,5
12.349999999999998,0.5,0.55,6
10.8,0.45,0.33,5
6.9,0.39,0.24,4
12.349999999999998,0.41,0.54,6
10.8,0.45,0.33,5
9.8,0.51,0.19,6
10.8,0.29,0.42,6
7.1,0.715,0.0,5
9.1,0.66,0.15,5
7.0,0.685,0.0,5
4.9,0.42,0.0,7
6.7,0.54,0.13,5
6.7,0.54,0.13,5
7.1,0.48,0.28,5
7.1,0.46,0.14,5
7.5,0.27,0.34,7
7.1,0.46,0.14,5
7.8,0.57,0.09,8
5.9,0.61,0.08,6
7.5,0.685,0.07,4
5.9,0.61,0.08,6
10.4,0.44,0.42,3
11.6,0.47,0.44,4
8.8,0.685,0.26,5
7.6,0.665,0.1,5
6.7,0.28,0.28,7
6.7,0.28,0.28,7
10.1,0.31,0.35,7
6.0,0.5,0.04,5
11.1,0.42,0.47,7
6.6,0.66,0.0,5
10.6,0.5,0.45,6
7.1,0.685,0.35,5
9.9,0.25,0.46,6
6.4,0.64,0.21,5
6.4,0.64,0.21,5
7.4,0.68,0.16,6
6.4,0.64,0.21,5
6.4,0.63,0.21,5
9.3,0.43,0.44,5
9.3,0.43,0.44,5
8.0,0.42,0.32,5
9.3,0.36,0.39,6
9.3,0.36,0.39,6
7.6,0.735,0.02,7
9.3,0.36,0.39,6
8.2,0.26,0.34,7
11.7,0.28,0.47,7
6.8,0.56,0.22,6
7.2,0.62,0.06,5
5.8,1.01,0.66,6
7.5,0.42,0.32,5
7.2,0.62,0.06,5
7.2,0.62,0.06,5
7.2,0.635,0.07,5
6.8,0.49,0.22,6
6.9,0.51,0.23,6
6.8,0.56,0.22,6
7.6,0.63,0.03,6
7.7,0.715,0.01,6
6.9,0.56,0.03,5
7.3,0.35,0.24,4
9.1,0.21,0.37,7
10.4,0.38,0.46,7
8.8,0.31,0.4,7
7.1,0.47,0.0,4
7.7,0.715,0.01,6
8.8,0.61,0.19,6
7.2,0.6,0.04,5
9.2,0.56,0.18,5
7.6,0.715,0.0,6
8.4,0.31,0.29,6
7.2,0.6,0.04,5
8.8,0.61,0.19,6
8.9,0.75,0.14,5
9.0,0.8,0.12,6
10.7,0.52,0.38,7
6.8,0.57,0.0,6
10.7,0.9,0.34,5
7.2,0.34,0.24,5
7.2,0.66,0.03,5
10.1,0.45,0.23,6
7.2,0.66,0.03,5
7.2,0.63,0.03,6
7.1,0.59,0.01,6
8.3,0.31,0.39,7
7.1,0.59,0.01,6
8.3,0.31,0.39,7
8.3,1.02,0.02,3
8.9,0.31,0.36,5
7.4,0.635,0.1,7
7.4,0.635,0.1,7
6.8,0.59,0.06,7
6.8,0.59,0.06,7
9.2,0.58,0.2,5
7.2,0.54,0.27,5
6.1,0.56,0.0,6
7.4,0.52,0.13,6
7.3,0.305,0.39,6
9.3,0.38,0.48,6
9.1,0.28,0.46,6
10.0,0.46,0.44,6
9.4,0.395,0.46,7
7.3,0.305,0.39,6
8.6,0.315,0.4,6
5.3,0.715,0.19,5
6.8,0.41,0.31,6
8.4,0.36,0.32,6
8.4,0.62,0.12,6
9.6,0.41,0.37,5
8.4,0.36,0.32,6
8.4,0.62,0.12,6
6.8,0.41,0.31,6
8.6,0.47,0.27,5
8.6,0.22,0.36,7
9.4,0.24,0.33,6
8.4,0.67,0.19,4
8.6,0.47,0.27,5
8.7,0.33,0.38,7
6.6,0.61,0.01,5
7.4,0.61,0.01,5
7.6,0.4,0.29,6
7.4,0.61,0.01,5
6.6,0.61,0.01,5
8.8,0.3,0.38,6
8.8,0.3,0.38,6
12.0,0.63,0.5,4
7.2,0.38,0.38,7
6.2,0.46,0.17,5
9.6,0.33,0.52,7
9.9,0.27,0.49,7
10.1,0.43,0.4,7
9.8,0.5,0.34,7
8.3,0.3,0.49,7
10.2,0.44,0.42,7
10.2,0.44,0.58,7
8.3,0.28,0.48,7
8.9,0.12,0.45,7
8.9,0.12,0.45,7
8.9,0.12,0.45,7
8.3,0.28,0.48,7
8.2,0.31,0.4,7
10.2,0.34,0.48,7
7.6,0.43,0.4,6
8.5,0.21,0.52,5
9.0,0.36,0.52,6
9.5,0.37,0.52,6
6.4,0.57,0.12,7
8.0,0.59,0.05,5
8.5,0.47,0.27,6
7.1,0.56,0.14,5
6.6,0.57,0.02,5
8.8,0.27,0.39,6
8.5,0.47,0.27,6
8.3,0.34,0.4,6
9.0,0.38,0.41,7
8.5,0.66,0.2,5
9.0,0.4,0.43,6
6.7,0.56,0.09,5
10.4,0.26,0.48,6
10.4,0.26,0.48,6
10.1,0.38,0.5,7
8.5,0.34,0.44,5
8.8,0.33,0.41,7
7.2,0.41,0.3,5
7.2,0.41,0.3,5
8.4,0.59,0.29,5
7.0,0.4,0.32,7
12.2,0.45,0.49,5
